Year,Date,RoundID,Stage,MatchID,Country,City,Stadium,Home_Team_Name,Home_Team_Initials,Half_Time_Home_Goals,Home_Team_Goals,Away_Team_Name,Away_Team_Initials,Half_Time_Away_Goals,Away_Team_Goals,Half_Time_Goals,Goals,Outcome_Of_The_Match,Win_Conditions,Attendance,Referee,Assistant_1,Assistant_2
1998,12-06-1998,1014,Group C,8730,France,Marseilles ,Stade V�lodrome,France,FRA,1,3,South Africa,RSA,0,0,1,3,Home_Team_Win, ,55000,REZENDE Marcio (BRA),PINTO Arnaldo (BRA),GONZALES Merere (TRI)
1998,13-06-1998,1014,Group D,8731,Spain,Nantes ,La Beaujoire,Spain,ESP,1,2,Nigeria,NGA,1,3,2,5,Away_Team_Win, ,35500,BAHARMAST Esse (USA),TORRES ZUNIGA Luis (CRC),DUPANOV Yuri (BLR)
1998,13-06-1998,1014,Group E,8732,Korea Republic,Lyon ,Stade de Gerland,Korea Republic,KOR,1,1,Mexico,MEX,0,3,1,4,Away_Team_Win, ,39100,BENKO Gunter (AUT),FRED Lencie (VAN),SCHNEIDER Erich (GER)
1998,13-06-1998,1014,Group E,8733,Netherlands,Saint-Denis ,Stade de France,Netherlands,NED,0,0,Belgium,BEL,0,0,0,0,DRAW, ,77000,COLLINA Pierluigi (ITA),MAZZEI Gennaro (ITA),ZAMMIT Emanuel (MLT)
1998,14-06-1998,1014,Group H,8734,Argentina,Toulouse ,Stade Municipal,Argentina,ARG,1,1,Japan,JPN,0,0,1,1,Home_Team_Win, ,33500,VAN DER ENDE Mario (NED),VAN DEN BROECK Marc (BEL),FOLEY Eddie (IRL)
1998,14-06-1998,1014,Group F,8735,Yugoslavia,Saint-Etienne ,Stade Geoffroy Guichard,Yugoslavia,YUG,0,1,Iran,IRN,0,0,0,1,Home_Team_Win, ,30600,TEJADA NORIEGA Alberto (PER),POWELL Owen (JAM),POCIEGIEL Jacek (POL)
1998,14-06-1998,1014,Group H,8736,Jamaica,Lens ,Stade Felix Bollaert,Jamaica,JAM,1,1,Croatia,CRO,1,3,2,4,Away_Team_Win, ,38100,MELO PEREIRA Vitor (POR),GRIGORESCU Nicolae (ROU),POUDEVIGNE Jacques (FRA)
1998,15-06-1998,1014,Group G,8740,England,Marseilles ,Stade V�lodrome,England,ENG,1,2,Tunisia,TUN,0,0,1,2,Home_Team_Win, ,55000,OKADA Masayoshi (JPN),JEON Young Hyun (KOR),DANTE Dramane (MLI)
1998,15-06-1998,1014,Group G,8739,Romania,Lyon ,Stade de Gerland,Romania,ROU,1,1,Colombia,COL,0,0,1,1,Home_Team_Win, ,39100,LIM KEE CHONG An Yan (MRI),AL MUSAWI Mohamed (OMA),ABDUL HAMID Halim (MAS)
1998,15-06-1998,1014,Group F,8738,Germany,Paris ,Parc des Princes,Germany,GER,1,2,USA,USA,0,0,1,2,Home_Team_Win, ,45500,BELQOLA Said (MAR),MANSRI Mohamed (TUN),NILSSON Mikael (SWE)
1998,16-06-1998,1014,Group A,8741,Scotland,Bordeaux ,Stade du Parc Lescure,Scotland,SCO,0,1,Norway,NOR,0,1,0,2,DRAW, ,31800,VAGNER Laszlo (HUN),AMLER Evzen (CZE),RAUSIS Laurent (SUI)
1998,16-06-1998,1014,Group A,8742,Brazil,Nantes ,La Beaujoire,Brazil,BRA,2,3,Morocco,MAR,0,0,2,3,Home_Team_Win, ,35500,LEVNIKOV Nikolai (RUS),DUPANOV Yuri (BLR),WARREN Mark (ENG)
1998,17-06-1998,1014,Group B,8743,Chile,Saint-Etienne ,Stade Geoffroy Guichard,Chile,CHI,0,1,Austria,AUT,0,1,0,2,DRAW, ,30600,EL GHANDOUR Gamal (EGY),GHADANFARI Hussain (KUW),TRESACO GRACIA Fernando (ESP)
1998,17-06-1998,1014,Group B,8744,Italy,Montpellier ,La Mosson,Italy,ITA,1,3,Cameroon,CMR,0,0,1,3,Home_Team_Win, ,29800,LENNIE Edward (AUS),FRED Lencie (VAN),ROSSI Claudio (ARG)
1998,18-06-1998,1014,Group C,8746,South Africa,Toulouse ,Stade Municipal,South Africa,RSA,0,1,Denmark,DEN,1,1,1,2,DRAW, ,33500,TORO RENDON John (COL),ARANGO Jorge Luis (COL),GALVAN Celestino (PAR)
1998,18-06-1998,1014,Group C,8745,France,Saint-Denis ,Stade de France,France,FRA,1,4,Saudi Arabia,KSA,0,0,1,4,Home_Team_Win, ,80000,BRIZIO CARTER Arturo (MEX),SALINAS Reynaldo (HON),TORRES ZUNIGA Luis (CRC)
1998,19-06-1998,1014,Group D,8747,Nigeria,Paris ,Parc des Princes,Nigeria,NGA,1,1,Bulgaria,BUL,0,0,1,1,Home_Team_Win, ,45500,SANCHEZ YANTEN Mario (CHI),DIAZ GALVEZ Jorge (CHI),PINTO Arnaldo (BRA)
1998,19-06-1998,1014,Group D,8748,Spain,Saint-Etienne ,Stade Geoffroy Guichard,Spain,ESP,0,0,Paraguay,PAR,0,0,0,0,DRAW, ,30600,McLEOD Ian (RSA),SOLDATOS Aristidis Chris (RSA),POWELL Owen (JAM)
1998,20-06-1998,1014,Group H,8751,Japan,Nantes ,La Beaujoire,Japan,JPN,0,0,Croatia,CRO,0,1,0,1,Away_Team_Win, ,35500,RAMDHAN Ramesh (TRI),GONZALES Merere (TRI),SALIE Achmat (RSA)
